Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
33729     	0.1204         	0.063734       	4110000   	0.1000    	215.20         
33776     	0.0809         	0.063494       	4120000   	0.1000    	219.60         
33808     	0.1161         	0.063806       	4130000   	0.1000    	215.40         
33844     	0.1159         	0.065781       	4140000   	0.1000    	117.00         
33883     	0.0671         	0.065175       	4150000   	0.1000    	196.70         
33914     	0.1232         	0.068434       	4160000   	0.1000    	225.10         
33952     	0.1145         	0.068288       	4170000   	0.1000    	198.40         
33991     	0.1188         	0.067456       	4180000   	0.1000    	174.90         
34028     	0.0837         	0.065353       	4190000   	0.1000    	180.20         
34060     	0.1084         	0.067209       	4200000   	0.1000    	167.40         
34090     	0.1186         	0.064847       	4210000   	0.1000    	190.20         
34128     	0.1064         	0.065944       	4220000   	0.1000    	234.10         
34166     	0.0773         	0.066916       	4230000   	0.1000    	214.40         
34208     	0.0728         	0.066288       	4240000   	0.1000    	168.00         
34242     	0.0900         	0.065528       	4250000   	0.1000    	161.40         
34281     	0.1184         	0.066728       	4260000   	0.1000    	204.40         
34311     	0.1216         	0.068062       	4270000   	0.1000    	217.10         
34350     	0.0700         	0.067581       	4280000   	0.1000    	190.30         
34388     	0.1203         	0.066553       	4290000   	0.1000    	203.60         
34420     	0.0829         	0.063119       	4300000   	0.1000    	254.60         
34459     	0.0966         	0.067400       	4310000   	0.1000    	202.00         
34500     	0.0750         	0.067616       	4320000   	0.1000    	243.00         
